"answer_id","question_id","answer_text","is_correct"
"1","1","Тип будет float, потому что операция деления в Python 3 всегда возвращает число с плавающей точкой","True"
"2","1","Тип будет int, потому что результат 2.5 округляется до целого","False"
"3","1","Тип будет str, потому что число преобразуется в строку","False"
"4","1","Тип будет bool, потому что все значения, кроме нуля, интерпретируются как истина","False"
"5","2","Оператор `is` проверяет, ссылаются ли две переменные на один и тот же объект в памяти, а `==` сравнивает значения объектов. Например, два одинаковых списка могут быть равны по значению, но находиться в разных местах памяти","True"
"6","2","`is` используется для сравнения строк, а `==` — для чисел и списков","False"
"7","2","Оба оператора сравнивают значения, но `is` работает быстрее, поэтому его предпочтительнее использовать всегда","False"
"8","2","`==` сравнивает только типы данных, а `is` — их содержимое","False"
"9","3","Функция использует один и тот же список `x` при каждом вызове, так как значение по умолчанию вычисляется один раз при определении функции. Результат будет `[1]` и `[1, 1]`","True"
"10","3","Функция создаёт новый список каждый раз, поэтому результат будет `[1]` и `[1]`","False"
"11","3","Второй вызов функции вызовет ошибку, так как параметр `x` уже использован","False"
"12","3","Списки в Python всегда копируются по значению, поэтому результат будет `[1]` и `[1]`","False"
"13","4","Функция `inner` напечатает `20`, потому что замыкание захватывает переменную `x` из окружающей области `outer`, а не глобальную","True"
"14","4","Функция `inner` напечатает `10`, потому что она использует глобальную переменную `x`","False"
"15","4","Код вызовет ошибку, так как переменная `x` определена как локальная в `outer`, но не передана в `inner`","False"
"16","4","Функция `inner` не сможет получить доступ к `x`, потому что она находится вне её области видимости","False"
"17","5","Код создаст список из трёх ссылок на один и тот же вложенный список, поэтому `append(1)` повлияет на все три элемента. Результат будет `[[1], [1], [1]]`","True"
"18","5","Результат будет `[[1], [], []]`, так как первый и второй элементы случайно ссылаются на одну и ту же память","False"
"19","5","Каждый элемент `x` будет независимым пустым списком, и `append(1)` изменит только первый: `[[1], [], []]`","False"
"20","5","Код вызовет ошибку, так как нельзя изменять элементы списка, созданного через операцию умножения","False"
"21","6","`with` автоматически управляет ресурсами: откроет файл и гарантированно закроет его после выхода из блока, даже при возникновении исключений. Это делает код надёжнее и предотвращает утечки ресурсов","True"
"22","6","`with` используется только для чтения файлов и не применим к режиму записи","False"
"23","6","`with` открывает файл в защищённом режиме, при котором запись происходит в буфер, но не в сам файл","False"
"24","6","`with` заменяет собой функцию `close()` внутри блока, но файл всё равно остаётся открытым после выхода из него","False"
"25","7","Будет выброшено исключение `TypeError`, потому что список `[]` является изменяемым объектом и не может быть использован как ключ в словаре","True"
"26","7","Код выполнится корректно, и `'value'` будет присвоено под ключом `[]`, так как ключи могут быть любыми объектами","False"
"27","7","Словарь создаст копию списка и использует его как строковое представление для ключа","False"
