"question_id","topic_id","question_text","difficulty_level","link"
"1","1","Какой тип будет у переменной после выполнения кода `x = 5 / 2` в Python 3?","1","https://docs.python.org/3/tutorial/introduction.html#numbers"
"2","1","Чем `is` отличается от `==` в Python и в каких случаях результат может отличаться?","2","https://docs.python.org/3/reference/expressions.html#is"
"3","1","Что выведет следующий код и почему? 
def func(x=[]):
    x.append(1)
    return x
print(func())
print(func())","3","https://docs.python.org/3/reference/compound_stmts.html#function-definitions"
"4","1","Что произойдёт при выполнении кода и почему? 
x = 10
def outer():
    x = 20
    def inner():
        print(x)
    inner()
outer()","3","https://docs.python.org/3/tutorial/classes.html#python-scopes-and-namespaces"
"5","1","Что произойдёт при выполнении следующего кода и почему? 
x = [[]] * 3
x[0].append(1)
print(x)","3","https://docs.python.org/3/faq/programming.html#why-did-changing-list-y-also-change-list-x"
"6","1","Что делает конструкция 
with open('file.txt', 'w') as f:
    f.write('data') 
и в чём её преимущество перед обычным `open` и `close`?","3","https://docs.python.org/3/reference/compound_stmts.html#with"
"7","1","Что произойдёт при выполнении этого кода и почему? 
d = {}
d[[]] = 'value'","3","https://docs.python.org/3/tutorial/datastructures.html#dictionaries"
"8","1","Что произойдёт при выполнении следующего кода? 
def gen():
    yield 1
    yield 2
    return 3
for x in gen():
    print(x)","3","https://docs.python.org/3/reference/simple_stmts.html#the-yield-statement"
"9","1","Какой результат вернёт второй вызов функции, и почему?
def add_element(item, my_list=[]):
	my_list.append(item)
	return my_list

add_element(1)
print(add_element(2))
","3","https://docs.python.org/3/tutorial/controlflow.html#default-argument-values"
"10","1","Рассмотрим следующий код:

def process_data(data):
    new_data = []
    for item in data:
        if isinstance(item, int) and item > 0:
            new_data.append(item * 2)
        elif isinstance(item, str):
            new_data.append(item.upper())
        else:
            new_data.append(None)
    return new_data

Каким будет результат вызова process_data([1, 'hello', -3, 5.0, 'world']) и почему?","3","https://docs.python.org/3/tutorial/datastructures.html#list-comprehensions"
"11","1","Рассмотрим следующий Python код. 
Каким будет результат выполнения и почему?
def process_data(data_list):
    data_list.append('processed')
    data_list = ['new', 'list']

my_data = ['initial']
process_data(my_data)
print(my_data)","3","https://docs.python.org/3/faq/programming.html#how-do-i-write-a-function-with-output-parameters-call-by-reference"
"12","1","Рассмотрим следующий Python код. 
Каким будет результат выполнения и почему?
def update_tuple_with_list(t):
    t[0].append(4)
    t = (1, 2, 3)

my_tuple = ([1, 2, 3], 'a', 'b')
update_tuple_with_list(my_tuple)
print(my_tuple)","4","https://docs.python.org/3/reference/datamodel.html"
"13","1","Что будет выведено и почему? 
x = 10
def func():
    print(x)
func()","3","https://docs.python.org/3/faq/programming.html#why-am-i-getting-an-unboundlocalerror-when-the-variable-has-a-value"
"14","1","Рассмотрим следующий Python код. 
Каким будет результат выполнения и почему?
import copy

def complex_mutation(data):
    data[0]['nested_list'].append(4)
    data[1] = 'changed'
    data = copy.deepcopy(data)
    data[0]['nested_list'].append(5)

original_data = [{'nested_list': [1, 2, 3]}, 'initial_string']
complex_mutation(original_data)
print(original_data)","3","https://docs.python.org/3/faq/programming.html#why-am-i-getting-an-unboundlocalerror-when-the-variable-has-a-value"
